Nome,Pasta,Description,Assignee,Start Date,Due Date,Priority,Status,SKU,Bid,Scope,Type,Height,Width,Depth,Incoming,Outcoming
md7016,MLTR,SEMI FLUSH 3 LIGHTS LIGHT GOLD,,4/25/2022,5/20/2022,P2,MLTR,BKT1713LG,0.25,Quoizel,MLTR,8.5,13,13,,
md7017,MLTR,ISLAND 4 LIGHTS LIGHT GOLD,,4/25/2022,5/20/2022,P2,MLTR,BKT436LG,0.25,Quoizel,MLTR,17,35.75,6.5,,
md7018,MLTR,CHANDELIER 5 LIGHTS LIGHT GOLD,,4/25/2022,5/20/2022,P2,MLTR,BKT5024LG,0.25,Quoizel,MLTR,17.25,24.5,24.5,,
md7019,MLTR,SEMI FLUSH 4 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,BSM1714MBK,0.25,Quoizel,MLTR,8,14,14,,
md7020,MLTR,SEMI FLUSH 4 LIGHTS WHITE,,4/25/2022,5/20/2022,P2,MLTR,BSM1714W,0.25,Quoizel,MLTR,8,14,14,,
md7021,MLTR,CHANDELIER 6 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,BSM5028MBK,0.25,Quoizel,MLTR,20.5,28,28,,
md7022,MLTR,CHANDELIER 6 LIGHTS WHITE,,4/25/2022,5/20/2022,P2,MLTR,BSM5028W,0.25,Quoizel,MLTR,20.5,28,28,,
md7023,MLTR,MINI PENDANT 1 LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,BTC1512MBK,0.25,Quoizel,MLTR,14.75,12,12,,
md7024,MLTR,CHANDELIER 5 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,BTC5025MBK,0.25,Quoizel,MLTR,17.75,25.5,25.5,,
md7025,MLTR,PENDANT 5 LIGHTS AGED BRASS,,4/25/2022,5/20/2022,P2,MLTR,BYN2824AB,0.25,Quoizel,MLTR,25.5,24,24,,
md7026,MLTR,PENDANT 5 LIGHTS ANTIQUE NICKEL,,4/25/2022,5/20/2022,P2,MLTR,BYN2824AN,0.25,Quoizel,MLTR,25.5,24,24,,
md7027,MLTR,CHANDELIER 8 LIGHTS BRUSHED WEATHERED BRASS,,4/25/2022,5/20/2022,P2,MLTR,CBR5028BWS,0.25,Quoizel,MLTR,28.75,28,28,,
md7028,MLTR,CHANDELIER 8 LIGHTS MYSTIC BLACK,,4/25/2022,5/20/2022,P2,MLTR,CBR5028K,0.25,Quoizel,MLTR,28.75,28,28,,
md7029,MLTR,CHANDELIER 8 LIGHTS POLISHED NICKEL,,4/25/2022,5/20/2022,P2,MLTR,CBR5028PK,0.25,Quoizel,MLTR,28.75,28,28,,
md7030,MLTR,SEMI FLUSH 4 LIGHTS EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,CHT1712EK,0.25,Quoizel,MLTR,10.5,12,12,,
md7031,MLTR,ISLAND 6 LIGHTS EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,CHT636EK,0.25,Quoizel,MLTR,18.25,36,10,,
md7032,MLTR,CHANDELIER 5 LIGHTS AGED BRASS,,4/25/2022,5/20/2022,P2,MLTR,CLD5025AB,0.25,Quoizel,MLTR,24.25,25,25,,
md7033,MLTR,ISLAND 6 LIGHTS AGED BRASS,,4/25/2022,5/20/2022,P2,MLTR,CLD637AB,0.25,Quoizel,MLTR,29.75,37.5,17.25,,
md7034,MLTR,SEMI FLUSH 4 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,COB1716MBK,0.25,Quoizel,MLTR,15.25,16,16,,
md7035,MLTR,PENDANT 4 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,COB2816MBK,0.25,Quoizel,MLTR,13,16,16,,
md7036,MLTR,ISLAND 5 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,COB540MBK,0.25,Quoizel,MLTR,16.75,40.5,10.75,,
md7037,MLTR,PENDANT 4 LIGHTS EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,DMN1514EK,0.25,Quoizel,MLTR,20.75,14,14,,
md7038,MLTR,ISLAND 5 LIGHTS EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,DMN537EK,0.25,Quoizel,MLTR,13.5,37,11,,
md7039,MLTR,PENDANT 4 LIGHTS OLD BRONZE,,4/25/2022,5/20/2022,P2,MLTR,DUP2816OZ,0.25,Quoizel,MLTR,28,16.25,16.25,,
md7040,MLTR,CHANDELIER 6 LIGHT OLD BRONZE,,4/25/2022,5/20/2022,P2,MLTR,DUP5025OZ,0.25,Quoizel,MLTR,28,25,25,,
md7041,MLTR,CHANDELIER 6 LIGHTS MOTTLED BLACK,,4/25/2022,5/20/2022,P2,MLTR,DVY5026MB,0.25,Quoizel,MLTR,8.75,26,26,,
md7042,MLTR,ISLAND 6 LIGHTS MOTTLED BLACK,,4/25/2022,5/20/2022,P2,MLTR,DVY632MB,0.25,Quoizel,MLTR,8.75,32,10.25,,
md7043,MLTR,MINI PENDANT 1 LIGHT EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,FTS1509EK,0.25,Quoizel,MLTR,10,9.25,9.25,,
md7044,MLTR,SEMI-FLUSH MOUNT 3 LIGHT EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,FTS1716EK,0.25,Quoizel,MLTR,12.75,16,16,,
md7045,MLTR,PENDANT 5 LIGHTS EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,FTS2821EK,0.25,Quoizel,MLTR,23.5,20.5,20.5,,
md7046,MLTR,FANDELIER 4 LIGHTS EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,FTS3124EK,0.25,Quoizel,MLTR,9.75,24.25,24.25,,
md7047,MLTR,FANDELIER 4 LIGHTS MOTTLED SILVER,,4/25/2022,5/20/2022,P2,MLTR,FTS3124MM,0.25,Quoizel,MLTR,9.75,24.25,24.25,,
md7048,MLTR,ISLAND  6 LIGHTS EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,FTS638EK,0.25,Quoizel,MLTR,23.5,39,15.5,,
md7049,MLTR,MINI PENDANT 1 LIGHT EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,FYT1512EK,0.25,Quoizel,MLTR,7.75,12,12,,
md7050,MLTR,SEMI FLUSH 1 LIGHT EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,FYT1712EK,0.25,Quoizel,MLTR,7.75,12,12,,
md7051,MLTR,CHANDELIER 3 LIGHTS EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,FYT5124EK,0.25,Quoizel,MLTR,13.75,24,24,,
md7052,MLTR,SEMI FLUSH 3 LIGHTS BRUSHED NICKEL,,4/25/2022,5/20/2022,P2,MLTR,GDN1716BN,0.25,Quoizel,MLTR,9.75,16.25,16.25,,
md7053,MLTR,SEMI FLUSH 3 LIGHTS CHAMPAGNE GOLD,,4/25/2022,5/20/2022,P2,MLTR,GDN1716CG,0.25,Quoizel,MLTR,9.75,16.25,16.25,,
md7054,MLTR,PENDANT 4 LIGHTS BRUSHED NICKEL,,4/25/2022,5/20/2022,P2,MLTR,GDN2820BN,0.25,Quoizel,MLTR,16,20,20,,
md7055,MLTR,PENDANT 4 LIGHTS CHAMPAGNE GOLD,,4/25/2022,5/20/2022,P2,MLTR,GDN2820CG,0.25,Quoizel,MLTR,16,20,20,,
md7056,MLTR,CHANDELIER 6 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,GRA5024MBK,0.25,Quoizel,MLTR,21.5,24,24,,
md7057,MLTR,CHANDELIER 9 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,GRA5029MBK,0.25,Quoizel,MLTR,27,29,29,,
md7058,MLTR,CHANDELIER 6 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,GRL5026MBK,0.25,Quoizel,MLTR,37.25,26,26,,
md7059,MLTR,ISLAND 5 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,GRL539MBK,0.25,Quoizel,MLTR,15.5,39,4,,
md7060,MLTR,FLUSH MOUNT 1 LIGHT BRUSHED NICKEL,,4/25/2022,5/20/2022,P2,MLTR,HLY1610BN,0.25,Quoizel,MLTR,8,10,10,,
md7061,MLTR,ISLAND 3 LIGHTS BRUSHED NICKEL,,4/25/2022,5/20/2022,P2,MLTR,HLY336BN,0.25,Quoizel,MLTR,12,36,9,,
md7062,MLTR,CHANDELIER 4 LIGHTS MYSTIC BLACK,,4/25/2022,5/20/2022,P2,MLTR,HOG5018K,0.25,Quoizel,MLTR,21,18,18,,
md7063,MLTR,CHANDELIER 6 LIGHTS MYSTIC BLACK,,4/25/2022,5/20/2022,P2,MLTR,HOG5024K,0.25,Quoizel,MLTR,21,24,24,,
md7064,MLTR,CHANDELIER 5 LIGHTS DISTRESSED IRON,,4/25/2022,5/20/2022,P2,MLTR,KEL3525DO,0.25,Quoizel,MLTR,22.75,25.25,25.25,,
md7065,MLTR,ISLAND 6 LIGHTS DISTRESSED IRON,,4/25/2022,5/20/2022,P2,MLTR,KEL3533DO,0.25,Quoizel,MLTR,9.75,33.5,12,,
md7066,MLTR,CHANDELIER 5 LIGHTS NOUVEAU PAINTED WEATHERED BRASS,,4/25/2022,5/20/2022,P2,MLTR,KEL5025NWS,0.25,Quoizel,MLTR,22.5,24,24,,
md7067,MLTR,ISLAND 6 LIGHTS NOUVEAU PAINTED WEATHERED BRASS,,4/25/2022,5/20/2022,P2,MLTR,KEL633NWS,0.25,Quoizel,MLTR,9.75,33.5,12,,
md7068,MLTR,SEMI FLUSH 3 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,KNW1713MBK,0.25,Quoizel,MLTR,11,13,13,,
md7069,MLTR,PENDANT 4 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,KNW2814MBK,0.25,Quoizel,MLTR,22,14,14,,
md7070,MLTR,CHANDELIER 5 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,LGR5026MBK,0.25,Quoizel,MLTR,22.5,26,26,,
md7071,MLTR,ISLAND 6 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,LGR636MBK,0.25,Quoizel,MLTR,24.75,36,16,,
md7072,MLTR,CHANDELIER 5 LIGHTS LIGHT GOLD,,4/25/2022,5/20/2022,P2,MLTR,MAB5026LG,0.25,Quoizel,MLTR,28.5,26.25,26.25,,
md7073,MLTR,CHANDELIER 5 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,MAB5026MBK,0.25,Quoizel,MLTR,28.5,26.25,26.25,,
md7074,MLTR,PENDANT 4 LIGHTS LIGHT GOLD,,4/25/2022,5/20/2022,P2,MLTR,MAL2816LG,0.25,Quoizel,MLTR,17,16,16,,
md7075,MLTR,PENDANT 4 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,MAL2816MBK,0.25,Quoizel,MLTR,17,16,16,,
md7076,MLTR,PENDANT 5 LIGHTS LIGHT GOLD,,4/25/2022,5/20/2022,P2,MLTR,MAL2824LG,0.25,Quoizel,MLTR,14.25,24,24,,
md7077,MLTR,PENDANT 5 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,MAL2824MBK,0.25,Quoizel,MLTR,14.25,24,24,,
md7078,MLTR,CHANDELIER 4 LIGHTS EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,MGD5025EK,0.25,Quoizel,MLTR,21.5,25,25,,
md7079,MLTR,CHANDELIER 4 LIGHTS NOUVEAU PAINTED WEATHERED BRASS,,4/25/2022,5/20/2022,P2,MLTR,MGD5025NWS,0.25,Quoizel,MLTR,21.5,25,25,,
md7080,MLTR,CHANDELIER 6 LIGHTS EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,OLK5025EK,0.25,Quoizel,MLTR,23.25,25.75,25.75,,
md7081,MLTR,ISLAND 6 LIGHTS EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,OLK632EK,0.25,Quoizel,MLTR,23.25,32.5,16.25,,
md7082,MLTR,SEMI FLUSH LED LIGHT BRUSHED NICKEL,,4/25/2022,5/20/2022,P2,MLTR,OST1811BN,0.25,Quoizel,MLTR,5.5,11,11,,
md7083,MLTR,SEMI FLUSH LED LIGHT EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,OST1811EK,0.25,Quoizel,MLTR,5.5,11,11,,
md7084,MLTR,SEMI FLUSH LED LIGHT BRUSHED NICKEL,,4/25/2022,5/20/2022,P2,MLTR,OST1815BN,0.25,Quoizel,MLTR,6.75,15,15,,
md7085,MLTR,SEMI FLUSH LED LIGHT EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,OST1815EK,0.25,Quoizel,MLTR,6.75,15,15,,
md7086,MLTR,SEMI FLUSH LED LIGHT BRUSHED NICKEL,,4/25/2022,5/20/2022,P2,MLTR,OST1820BN,0.25,Quoizel,MLTR,8,20,20,,
md7087,MLTR,SEMI FLUSH LED LIGHT EARTH BLACK,,4/25/2022,5/20/2022,P2,MLTR,OST1820EK,0.25,Quoizel,MLTR,8,20,20,,
md7088,MLTR,MINI PENDANT 1 LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,OTN1512MBK,0.25,Quoizel,MLTR,15.5,12,12,,
md7089,MLTR,SEMI FLUSH 1 LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,OTN1712MBK,0.25,Quoizel,MLTR,14.5,12,12,,
md7090,MLTR,ISLAND 3 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,OTN336MBK,0.25,Quoizel,MLTR,18.5,36,8.25,,
md7091,MLTR,ISLAND LED LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,PCARN132MBK,0.25,Quoizel,MLTR,8.25,32,7.75,,
md7092,MLTR,SEMI FLUSH LED LIGHT POLISHED CHROME,,4/25/2022,5/20/2022,P2,MLTR,PCAVI1713C,0.25,Quoizel,MLTR,8.75,13,12.5,,
md7093,MLTR,SEMI FLUSH LED LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,PCAVI1713MBK,0.25,Quoizel,MLTR,8.75,13,12.5,,
md7094,MLTR,ISLAND LED LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,PCAZA340MBK,0.25,Quoizel,MLTR,10,39.75,36,,
md7095,MLTR,ISLAND LED LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,PCBRE839MBK,0.25,Quoizel,MLTR,12.25,39.5,17.75,,
md7096,MLTR,MINI PENDANT LED LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,PCCLT1507MBK,0.25,Quoizel,MLTR,17.75,7.75,7.5,,
md7097,MLTR,ISLAND LED LIGHT BRUSHED ALUMINUM,,4/25/2022,5/20/2022,P2,MLTR,PCCV157BRA,0.25,Quoizel,MLTR,24.5,56.75,7.75,,
md7098,MLTR,CHANDELIER LED LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,PCCYP5023MBK,0.25,Quoizel,MLTR,20,25,25,,
md7099,MLTR,CHANDELIER LED LIGHT WHITEWASHED WALNUT,,4/25/2022,5/20/2022,P2,MLTR,PCCYP5023WA,0.25,Quoizel,MLTR,20,25,25,,
md7100,MLTR,MINI PENDANT 1 LIGHT BRUSHED WEATHERED BRASS,,4/25/2022,5/20/2022,P2,MLTR,PCDPR1510BWS,0.25,Quoizel,MLTR,18,10,8.75,,
md7101,MLTR,SEMI FLUSH 4 LIGHTS BRUSHED WEATHERED BRASS,,4/25/2022,5/20/2022,P2,MLTR,PCDPR1714BWS,0.25,Quoizel,MLTR,13,14,9.25,,
md7102,MLTR,PENDANT 4 LIGHTS BRUSHED WEATHERED BRASS,,4/25/2022,5/20/2022,P2,MLTR,PCDPR2814BWS,0.25,Quoizel,MLTR,10.25,14,9.25,,
md7103,MLTR,ISLAND 5 LIGHTS BRUSHED WEATHERED BRASS,,4/25/2022,5/20/2022,P2,MLTR,PCDPR534BWS,0.25,Quoizel,MLTR,16,34,17,,
md7104,MLTR,LINEAR CHANDELIER LED LIGHT SOFT GOLD,,4/25/2022,5/20/2022,P2,MLTR,PCDZ136SGD,0.25,Quoizel,MLTR,10,35.5,9.25,,
md7105,MLTR,SEMIFLUSH LED LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,PCDZ1716MBK,0.25,Quoizel,MLTR,9.25,15.75,15.75,,
md7106,MLTR,SEMIFLUSH LED LIGHT SOFT GOLD,,4/25/2022,5/20/2022,P2,MLTR,PCDZ1716SGD,0.25,Quoizel,MLTR,9.25,15.75,15.75,,
md7107,MLTR,PENDANT LED LIGHT SOFT GOLD,,4/25/2022,5/20/2022,P2,MLTR,PCDZ2812SGD,0.25,Quoizel,MLTR,12.5,11.75,11.75,,
md7108,MLTR,PENDANT LED LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,PCELV2821MBK,0.25,Quoizel,MLTR,1.75,21.75,19.25,,
md7109,MLTR,MINI PENDANT LED LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,PCILR1507MBK,0.25,Quoizel,MLTR,7.75,7.5,3.5,,
md7110,MLTR,FLUSH MOUNT LED LIGHT POLISHED CHROME,,4/25/2022,5/20/2022,P2,MLTR,PCJAD1614C,0.25,Quoizel,MLTR,13,14,14,,
md7111,MLTR,SEMI FLUSH 3 LIGHTS POLISHED CHROME,,4/25/2022,5/20/2022,P2,MLTR,PCLCA1715C,0.25,Quoizel,MLTR,11,15,15,,
md7112,MLTR,SEMI FLUSH 3 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,PCLCA1715MBK,0.25,Quoizel,MLTR,11,15,15,,
md7113,MLTR,MINI PENDANT LED LIGHT POLISHED CHROME,,4/25/2022,5/20/2022,P2,MLTR,PCOSH1513C,0.25,Quoizel,MLTR,14.5,13.75,11.5,,
md7114,MLTR,PENDANT LED LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,PCOVD2827MBK,0.25,Quoizel,MLTR,9.5,27.5,15,,
md7115,MLTR,MINI PENDANT LED LIGHT POLISHED CHROME,,4/25/2022,5/20/2022,P2,MLTR,PCSNA1507C,0.25,Quoizel,MLTR,10.25,6.5,1.25,,
md7116,MLTR,ISLAND LED LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,PCSYL138MBK,0.25,Quoizel,MLTR,3.75,38,6,,
md7117,MLTR,ISLAND LED LIGHT BRUSHED NICKEL ,,4/25/2022,5/20/2022,P2,MLTR,PCZIM142BN,0.25,Quoizel,MLTR,13,42.25,12,,
md7118,MLTR,CHANDELIER 5 LIGHTS AGED BRASS,,4/25/2022,5/20/2022,P2,MLTR,PKN5025AB,0.25,Quoizel,MLTR,12.5,25.75,25.75,,
md7119,MLTR,ISLAND 8 LIGHTS AGED BRASS ,,4/25/2022,5/20/2022,P2,MLTR,PKN834AB,0.25,Quoizel,MLTR,12.25,34.5,14,,
md7120,MLTR,CHANDELIER 6 LIGHTS AGED BRASS,,4/25/2022,5/20/2022,P2,MLTR,QCH5577AB,0.25,Quoizel,MLTR,27.5,29.25,29.25,,
md7121,MLTR,CHANDELIER 6 LIGHTS POLISHED CHROME,,4/25/2022,5/20/2022,P2,MLTR,QCH5577C,0.25,Quoizel,MLTR,27.5,29.25,29.25,,
md7122,MLTR,CHANDELIER 6 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,QCH5577MBK,0.25,Quoizel,MLTR,27.5,29.25,29.25,,
md7123,MLTR,ISLAND 6 LIGHTS ANTIQUE NICKEL,,4/25/2022,5/20/2022,P2,MLTR,QCH5578AN,0.25,Quoizel,MLTR,16.75,36,26.5,,
md7124,MLTR,ISLAND 6 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,QCH5578MBK,0.25,Quoizel,MLTR,16.75,36,26.5,,
md7125,MLTR,FANDELIER 4 LIGHTS POLISHED NICKEL,,4/25/2022,5/20/2022,P2,MLTR,QFA4046PK,0.25,Quoizel,MLTR,9.75,22.5,22.5,,
md7126,MLTR,FANDELIER 4 LIGHTS WESTERN BRONZE,,4/25/2022,5/20/2022,P2,MLTR,QFA4046WT,0.25,Quoizel,MLTR,9.75,22.5,22.5,,
md7127,MLTR,FANDELIER 4 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,QFA5615MBK,0.25,Quoizel,MLTR,10.25,23.75,23.75,,
md7128,MLTR,FLUSH MOUNT 3 LIGHTS WEATHERED WHITE MAPLE,,4/25/2022,5/20/2022,P2,MLTR,QFL5574WM,0.25,Quoizel,MLTR,8,12.75,12.75,,
md7129,MLTR,FLUSH MOUNT 1 LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,QFL5586MBK,0.25,Quoizel,MLTR,6,10,10,,
md7130,MLTR,FLUSH MOUNT 1 LIGHT SOFT GOLD,,4/25/2022,5/20/2022,P2,MLTR,QFL5586SGD,0.25,Quoizel,MLTR,6,10,10,,
md7131,MLTR,FLUSH MOUNT 1 LIGHT BRUSHED NICKEL,,4/25/2022,5/20/2022,P2,MLTR,QFL5587BN,0.25,Quoizel,MLTR,8.5,9,9,,
md7132,MLTR,FLUSH MOUNT 1 LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,QFL5587MBK,0.25,Quoizel,MLTR,8.5,9,9,,
md7133,MLTR,FLUSH MOUNT 2 LIGHTS AGED BRASS,,4/25/2022,5/20/2022,P2,MLTR,QFL5590AB,0.25,Quoizel,MLTR,5,12,12,,
md7134,MLTR,FLUSH MOUNT 3 LIGHTS BRUSHED NICKEL,,4/25/2022,5/20/2022,P2,MLTR,QFL5592BN,0.25,Quoizel,MLTR,7.75,14,14,,
md7135,MLTR,FLUSH MOUNT 3 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,QFL5592MBK,0.25,Quoizel,MLTR,7.75,14,14,,
md7136,MLTR,FLUSH MOUNT 1 LIGHT BRUSHED NICKEL,,4/25/2022,5/20/2022,P2,MLTR,QFL5609BN,0.25,Quoizel,MLTR,8,10,10,,
md7137,MLTR,FLUSH MOUNT 1 LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,QFL5609MBK,0.25,Quoizel,MLTR,8,10,10,,
md7138,MLTR,FLUSH MOUNT 3 LIGHTS NATURAL IRON,,4/25/2022,5/20/2022,P2,MLTR,QFL5610NI,0.25,Quoizel,MLTR,6.5,15,15,,
md7139,MLTR,SEMI FLUSH 1 LIGHT MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,QFL5612MBK,0.25,Quoizel,MLTR,8.25,10.5,10.5,,
md7140,MLTR,SEMI FLUSH 1 LIGHT MATTE ROSE GOLD,,4/25/2022,5/20/2022,P2,MLTR,QFL5612MRG,0.25,Quoizel,MLTR,8.25,10.5,10.5,,
